_input,_num,_widgetName,_source,_resultNumber,_pageUrl,teams,score,odds,result,logo
,230,coversWithOT,coversWithOT,230,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883233.html,DAL; LAC,100; 120,213; -3.5,Over: 220; Cover: +16.5,Over: 220; Cover: +16.5
,231,coversWithOT,coversWithOT,231,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882720.html,MIL; WAS,97; 108,197; -9,Over: 205; Cover: +2,Over: 205; Cover: +2
,232,coversWithOT,coversWithOT,232,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882934.html,DAL; NO,109; 104,1; 203,Cover: +6; Over: 213,Cover: +6; Over: 213
,233,coversWithOT,coversWithOT,233,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882727.html,LAL; GS,104; 127,210.5; -14,Over: 231; Cover: +9,Over: 231; Cover: +9
,234,coversWithOT,coversWithOT,234,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882717.html,MEM; CHAR,71; 69,3; 186,Cover: +5; Under: 140,Cover: +5; Under: 140
,235,coversWithOT,coversWithOT,235,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882721.html,IND; ATL,92; 102,10.5; 193,Cover: +0.5; Over: 194,Cover: +0.5; Over: 194
,236,coversWithOT,coversWithOT,236,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882719.html,MIA; PHI,114; 96,-9; 195.5,Cover: +9; Over: 210,Cover: +9; Over: 210
,237,coversWithOT,coversWithOT,237,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882724.html,CHI; MIN,106; 105,190.5; 2,Over: 211; Cover: +1,Over: 211; Cover: +1
,238,coversWithOT,coversWithOT,238,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882725.html,DEN; OKC,91; 102,193.5; 4.5,Under: 193; Cover: +15.5,Under: 193; Cover: +15.5
,239,coversWithOT,coversWithOT,239,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882726.html,PHO; UTA,91; 118,203.5; 2,Over: 209; Cover: +29,Over: 209; Cover: +29
,240,coversWithOT,coversWithOT,240,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882722.html,BK; DET,102; 90,2.5; 196,Cover: +14.5; Under: 192,Cover: +14.5; Under: 192
,241,coversWithOT,coversWithOT,241,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882718.html,TOR; ORL,108; 95,-6; 195.5,Cover: +7; Over: 203,Cover: +7; Over: 203
,242,coversWithOT,coversWithOT,242,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883232.html,CHAR; NY,110; 82,-7.5; 187,Cover: +20.5; Over: 192,Cover: +20.5; Over: 192
,243,coversWithOT,coversWithOT,243,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883234.html,BK; DET,93; 98,5.5; 194.5,Cover: +0.5; Under: 191,Cover: +0.5; Under: 191
,244,coversWithOT,coversWithOT,244,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883237.html,MIL; CHI,87; 95,194; -6,Under: 182; Cover: +2,Under: 182; Cover: +2
,245,coversWithOT,coversWithOT,245,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883235.html,IND; PHI,92; 93,188; 7,Under: 185; Cover: +8,Under: 185; Cover: +8
,246,coversWithOT,coversWithOT,246,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883240.html,ORL; POR,92; 103,14; 195,Cover: +3; Push,Cover: +3; Push
,247,coversWithOT,coversWithOT,247,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883236.html,BOS; TOR,96; 109,209; -11.5,Under: 205; Cover: +1.5,Under: 205; Cover: +1.5
,248,coversWithOT,coversWithOT,248,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865058.html,WAS; PHI,122; 103,-11.5; 214.5,Cover: +7.5; Over: 225,Cover: +7.5; Over: 225
,249,coversWithOT,coversWithOT,249,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865061.html,BK; MIL,107; 98,-6; 198.5,Cover: +3; Over: 205,Cover: +3; Over: 205
,250,coversWithOT,coversWithOT,250,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865065.html,NO; LAC,76; 108,209; -11.5,Under: 184; Cover: +20.5,Under: 184; Cover: +20.5
,251,coversWithOT,coversWithOT,251,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865062.html,CLE; MEM,96; 110,184; -9,Over: 206; Cover: +5,Over: 206; Cover: +5
,252,coversWithOT,coversWithOT,252,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865064.html,MIN; SAC,108; 97,-4.5; 217,Cover: +6.5; Under: 205,Cover: +6.5; Under: 205
